"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"datasets","datasets","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,NA,NA,NA,NA,"Part of R 4.1.1",NA,NA,NA,NA,NA,"4.1.1"
"foreign.1","foreign","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","0.8-81","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"graphics","graphics","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,"grDevices",NA,NA,NA,"Part of R 4.1.1",NA,NA,NA,NA,"yes","4.1.1"
"grDevices","grDevices","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.1.1",NA,NA,NA,NA,"yes","4.1.1"
"grid","grid","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.1.1",NA,NA,NA,NA,"yes","4.1.1"
"KernSmooth.1","KernSmooth","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","2.23-20","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.1.1"
"lattice.1","lattice","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","0.20-44","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"MASS.1","MASS","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","7.3-54","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"Matrix.1","Matrix","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","1.3-4","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.1.1"
"methods","methods","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.1.1",NA,NA,NA,NA,"yes","4.1.1"
"mgcv.1","mgcv","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","1.8-36","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"nlme.1","nlme","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","3.1-152","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.1.1"
"nnet.1","nnet","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","7.3-16","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"parallel","parallel","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.1.1",NA,NA,NA,NA,"yes","4.1.1"
"rpart.1","rpart","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1-15","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"spatial","spatial","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","7.3-14","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"splines","splines","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.1.1",NA,NA,NA,NA,"yes","4.1.1"
"stats","stats","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.1.1",NA,NA,NA,NA,"yes","4.1.1"
"stats4","stats4","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.1.1",NA,NA,NA,NA,NA,"4.1.1"
"survival.1","survival","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","3.2-11","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"tcltk","tcltk","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,"utils",NA,NA,NA,"Part of R 4.1.1",NA,NA,NA,NA,"yes","4.1.1"
"tools","tools","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark",NA,"Part of R 4.1.1",NA,NA,NA,NA,"yes","4.1.1"
"utils","utils","C:/Users/nickd/AppData/Local/Temp/RtmpEFXGU2/renv-system-library","4.1.1","base",NA,NA,NA,"methods, xml2, commonmark",NA,"Part of R 4.1.1",NA,NA,NA,NA,"yes","4.1.1"
